"","FID","admin_region","admin_district","municipality","year","month","hour","day_week","category","kind_accident","type_accident","accident_car","accident_passenger","accident_motor","accident_goodsroad","accident_other","LINREFX","LINREFY","XGCSWGS84","YGCSWGS84","road_surface_condition","day"
"96",8757,3,1,305,2016,6,19,4,3,0,3,0,0,0,0,1,563698.5809,5936981.8283,9.962067922,53.577820993,NA,8
"97",8758,2,9,221,2016,5,8,5,3,3,6,0,0,0,0,0,557014.7613,5936232.9364,9.860995733,53.571859417,NA,19
"98",8761,1,8,121,2016,7,20,5,3,4,6,0,0,0,0,0,568851.5784,5934847.0007,10.0394118,53.557984018,NA,7
"99",8767,4,2,403,2016,5,20,5,2,4,3,1,0,0,0,0,565119.6091,5938907.4602,9.983928809,53.594952566,NA,26
"100",8770,1,8,124,2016,12,18,4,3,0,2,1,0,0,0,0,568938.5982,5934439.9908,10.040635482,53.554314757,NA,21
"101",8777,7,1,701,2016,9,16,2,3,3,2,1,0,0,0,0,564944.0064,5924419.4325,9.978270459,53.464765937,NA,19
"102",8799,2,9,221,2016,8,15,5,3,5,3,1,0,0,0,0,556259.6293,5936312.8214,9.849608054,53.572658911,NA,25
"103",8801,4,6,414,2016,7,8,5,3,6,7,0,1,0,0,0,567486.1152,5936939.3767,10.019253888,53.576965842,NA,14
"104",8808,2,3,209,2016,11,15,3,3,3,2,0,0,0,0,1,562558.345,5935569.3012,9.944566061,53.565263364,NA,8
"105",8834,1,7,119,2016,12,10,3,3,3,6,1,0,0,0,0,567949.9243,5934309.5872,10.025685646,53.553271701,NA,6
"106",8842,3,9,321,2016,6,23,2,3,4,2,1,0,0,0,0,561876.1297,5937261.8908,9.934602234,53.580556171,NA,13
"107",8843,4,5,412,2016,12,12,2,3,5,3,1,0,0,0,0,567477.7955,5937603.8687,10.019271911,53.582938786,NA,19
"108",8863,3,6,318,2016,7,8,6,3,5,3,1,0,0,0,0,563041.422,5940894.0856,9.952934993,53.613060956,NA,15
"109",8877,1,3,107,2016,10,16,2,3,4,6,0,0,0,0,0,565090.441,5933749.4404,9.982413036,53.54859983,NA,3
"110",8889,3,1,305,2016,9,7,6,3,6,6,0,1,0,0,0,563526.9386,5936623.8601,9.95940309,53.574624644,NA,2
"111",8890,3,1,306,2016,6,14,6,3,5,3,1,0,0,0,0,563081.6078,5936268.2014,9.952606744,53.571481967,NA,24
"112",8892,2,5,216,2016,5,10,5,3,5,3,1,0,0,0,0,559634.3622,5935489.956,9.900407947,53.564890687,NA,19
"113",8901,2,3,208,2016,6,23,1,3,1,5,1,0,0,0,0,563046.4004,5935202.5091,9.951860062,53.561908472,NA,19
"114",8909,2,3,208,2016,6,15,2,3,6,7,0,1,0,0,0,562987.8017,5935214.8428,9.950977972,53.562026355,NA,6
"115",8911,3,1,306,2016,6,15,5,3,5,7,0,0,0,0,0,563519.6388,5936600.2969,9.95928807,53.574413758,NA,2
"116",8912,3,6,318,2016,10,8,5,3,0,6,0,0,0,0,0,562993.0482,5940944.4093,9.952214061,53.613519048,NA,6
"117",8924,6,1,601,2016,10,15,5,3,5,3,1,0,0,0,0,579770.8503,5927585.6723,10.202366834,53.491183181,NA,6
"118",8925,2,5,216,2016,9,8,5,3,5,2,1,0,0,0,0,560589.6285,5935493.7003,9.914830054,53.564814912,NA,15
"119",8927,2,5,216,2016,5,7,4,3,4,6,0,0,0,0,0,559518.6263,5935540.3482,9.89867031,53.565356724,NA,4
"120",8936,3,6,318,2016,5,18,3,2,5,3,1,0,0,0,0,563039.5408,5940895.7724,9.952906902,53.613076343,NA,24
"121",8950,1,6,117,2016,7,6,4,3,5,2,1,0,0,0,0,568314.1759,5933391.7627,10.030982439,53.544975811,NA,20
"122",8951,1,1,102,2016,6,12,6,3,4,6,0,0,0,0,0,565409.2324,5933645.2401,9.987201992,53.547623739,NA,3
"123",8952,1,6,117,2016,9,8,3,3,3,2,1,0,0,0,0,568331.1567,5933356.5399,10.031230969,53.54465705,NA,27
"124",8953,3,4,316,2016,5,9,3,3,3,6,1,0,0,0,0,564094.3332,5937657.491,9.968182963,53.583845143,NA,17
"125",8983,1,14,132,2016,9,6,4,3,4,2,1,0,0,0,0,568494.141,5932986.7943,10.033609275,53.541312861,NA,21
"126",8984,3,9,321,2016,9,17,1,3,3,3,1,0,0,0,0,561531.7072,5938485.2868,9.929641959,53.59159179,NA,18
"127",8994,2,5,216,2016,11,14,6,3,5,2,1,0,0,0,0,560015.673,5935585.4705,9.906182848,53.565705648,NA,25
"128",8995,6,2,602,2016,9,13,2,3,2,2,1,0,0,0,0,580661.1385,5927039.7358,10.215642326,53.48614131,NA,12
"129",8996,1,1,102,2016,5,15,1,3,0,7,0,0,0,0,1,565664.5144,5933603.0122,9.991045389,53.547212365,NA,22
"130",9011,7,10,711,2016,5,17,7,3,5,3,0,0,0,0,1,563026.257,5925066.0088,9.949516948,53.470810017,NA,28
"131",9028,1,4,111,2016,5,16,7,3,5,3,1,0,0,0,0,564184.7677,5934036.7998,9.968804815,53.551293908,NA,28
"132",9034,4,7,416,2016,8,15,6,3,3,6,1,0,0,0,0,567974.32,5934707.33,10.026140318,53.556843116,NA,19
"133",9038,1,1,102,2016,9,20,3,3,5,2,1,0,0,0,0,565382.4224,5933651.7584,9.986798786,53.54768566,NA,13
"134",9041,4,6,415,2016,12,17,4,3,5,2,1,0,0,0,0,568159.888,5936011.2654,10.029225606,53.568537684,NA,7
"135",9048,1,3,106,2016,7,7,5,3,3,2,0,0,0,1,0,564503.1398,5933864.5252,9.973574024,53.549706607,NA,7
"136",9051,3,9,321,2016,5,13,6,3,5,2,1,0,0,0,0,561809.8937,5937594.0722,9.933667715,53.583549413,NA,6
"137",9058,1,14,133,2016,10,14,7,3,5,2,1,0,0,0,0,568329.8153,5932571.744,10.031039323,53.537604144,NA,22
"138",9079,3,4,316,2016,6,7,4,3,4,6,0,0,0,0,0,564120.4209,5937895.7927,9.968625941,53.585983633,NA,29
"139",9083,3,9,321,2016,7,13,5,3,4,3,1,0,0,0,0,561959.9356,5937097.0164,9.935835158,53.579064493,NA,14
"140",9085,1,4,111,2016,10,20,1,3,4,2,1,0,0,0,0,563891.6602,5934520.4147,9.964480179,53.555676059,NA,2
"141",9087,3,9,321,2016,9,18,2,3,5,2,1,0,0,0,0,562139.198,5936752.9472,9.938473827,53.575951016,NA,26
"142",9088,2,5,216,2016,9,8,2,3,5,2,1,0,0,0,0,560450.6119,5935548.7572,9.912742018,53.565325765,NA,26
"143",9107,4,2,403,2016,7,17,4,3,5,3,1,0,0,0,0,565065.4725,5938345.5161,9.98299373,53.58990898,NA,6
"144",9109,2,9,221,2016,11,18,4,2,5,2,1,0,0,0,0,556354.8216,5936292.8338,9.851041825,53.572469054,NA,16
"145",9110,2,5,215,2016,5,9,4,3,5,3,1,1,0,0,0,560911.4973,5935407.5269,9.919672396,53.564003175,NA,11
"146",9112,2,5,215,2016,12,17,3,3,3,2,1,0,0,0,0,561234.1936,5935384.9408,9.924539505,53.56376263,NA,13
"147",9114,3,4,316,2016,11,14,5,3,5,2,1,0,0,0,0,563820.09,5937206.5865,9.963948796,53.579826188,NA,3
"148",9120,2,3,209,2016,6,8,3,3,5,3,1,0,0,0,0,562582.17,5935421.8,9.944896193,53.563934879,NA,7
