_fid;anzahl;geschwindigkeit;von;bis;strichbreite;geom;coordinate_reference_system
DE.HH.UP_LETZTE_WOCHE_7615137;10;21.0;2025-03-17;2025-03-23;1.3;LINESTRING (563718.600415 5936676.890591,563702.115918 5936637.278865,563688.389742 5936609.165094,563671.006503 5936577.218858,563662.837804 5936564.201435,563659.659407 5936559.262717,563651.880421 5936546.806918);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615138;10;19.3;2025-03-17;2025-03-23;1.3;LINESTRING (563607.514517 5936482.562759,563639.732595 5936529.285091,563644.280515 5936535.800036,563651.880421 5936546.806918);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615139;9;16.3;2025-03-17;2025-03-23;1.2;LINESTRING (563708.765629 5936517.644102,563696.115689 5936522.591522,563683.987980 5936528.102371,563670.448761 5936535.151943,563665.243469 5936538.085892,563651.880421 5936546.806918);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615140;11;21.2;2025-03-17;2025-03-23;1.4;LINESTRING (563607.964849 5936576.812978,563634.634956 5936558.591087,563638.913207 5936555.644592,563651.880421 5936546.806918);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615141;12;23.7;2025-03-17;2025-03-23;1.5;LINESTRING (565427.515284 5935470.774743,565439.831340 5935456.814463);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615142;13;21.3;2025-03-17;2025-03-23;1.6;LINESTRING (565451.975024 5935440.960251,565445.122306 5935447.875097,565439.831340 5935456.814463);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615143;21;20.8;2025-03-17;2025-03-23;2.3;LINESTRING (565348.910426 5935564.597295,565351.052912 5935558.173387,565353.996311 5935551.315504,565358.889640 5935542.370536,565365.173792 5935533.444849,565427.515284 5935470.774743);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615144;12;21.0;2025-03-17;2025-03-23;1.5;LINESTRING (565459.921900 5935417.258995,565455.165348 5935425.871955,565452.896225 5935436.633548,565451.975024 5935440.960251);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615145;10;20.3;2025-03-17;2025-03-23;1.3;LINESTRING (565592.369814 5938718.010010,565602.821548 5938709.031429,565608.780104 5938704.218542,565628.247372 5938689.579556);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615146;10;19.0;2025-03-17;2025-03-23;1.3;LINESTRING (565646.079827 5938678.255956,565628.247372 5938689.579556);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615147;16;17.8;2025-03-17;2025-03-23;1.9;LINESTRING (565459.063595 5939188.606353,565462.388872 5939196.997780,565464.924648 5939205.044429,565467.503400 5939214.760720);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615148;16;17.1;2025-03-17;2025-03-23;1.9;LINESTRING (565472.739417 5939233.304242,565471.209930 5939229.054740,565469.637456 5939223.135597,565468.321956 5939217.776374,565467.503400 5939214.760720);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615149;14;19.9;2025-03-17;2025-03-23;1.7;LINESTRING (565499.686800 5939261.273724,565485.801234 5939250.732594,565481.544606 5939247.446602);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615150;16;17.1;2025-03-17;2025-03-23;1.9;LINESTRING (565431.451479 5939146.496656,565427.876585 5939141.773681,565422.753579 5939134.136201,565398.845041 5939096.974007,565393.680694 5939082.771086);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615151;12;17.4;2025-03-17;2025-03-23;1.5;LINESTRING (565390.175202 5939073.041979,565373.753332 5939078.266262,565326.734344 5939065.596889);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615152;11;24.1;2025-03-17;2025-03-23;1.4;LINESTRING (569316.094479 5939548.111208,569311.673309 5939542.705107,569306.530774 5939536.843310,569301.902878 5939531.990536);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615153;11;21.1;2025-03-17;2025-03-23;1.4;LINESTRING (569534.444667 5939261.244258,569534.358387 5939334.348491);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615154;9;18.7;2025-03-17;2025-03-23;1.2;LINESTRING (569512.266879 5939086.554232,569518.632382 5939121.698737,569530.525255 5939185.966745);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615155;9;24.5;2025-03-17;2025-03-23;1.2;LINESTRING (568882.096415 5937384.195593,568899.549554 5937449.544239);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615156;9;24.2;2025-03-17;2025-03-23;1.2;LINESTRING (568910.517361 5937487.425464,568899.549554 5937449.544239);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615157;18;22.3;2025-03-17;2025-03-23;2.0;LINESTRING (565341.647849 5935620.242373,565338.140116 5935696.524227,565339.413681 5935709.782869);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615158;22;18.0;2025-03-17;2025-03-23;2.3;LINESTRING (567102.687516 5937172.372402,567113.190506 5937150.935540);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615159;13;21.7;2025-03-17;2025-03-23;1.6;LINESTRING (567170.662729 5937262.912979,567133.763781 5937166.361229,567132.219199 5937163.223670,567130.138629 5937160.523558,567127.719104 5937158.374970,567124.897588 5937156.554469,567120.293255 5937154.374774);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615160;13;23.1;2025-03-17;2025-03-23;1.6;LINESTRING (567237.049583 5937353.209408,567216.365689 5937336.335149,567207.025467 5937327.300353);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615161;13;21.9;2025-03-17;2025-03-23;1.6;LINESTRING (567352.358105 5937397.805984,567276.745851 5937374.138279);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615162;13;22.1;2025-03-17;2025-03-23;1.6;LINESTRING (567380.781770 5937405.889878,567352.358105 5937397.805984);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615163;17;17.4;2025-03-17;2025-03-23;1.9;LINESTRING (567777.194224 5936527.864316,567744.229097 5936572.788808);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615164;17;18.8;2025-03-17;2025-03-23;1.9;LINESTRING (567913.355994 5936339.662683,567848.059374 5936431.188244,567807.863836 5936486.022598,567804.216198 5936490.977302,567797.326235 5936500.336196);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615165;9;16.6;2025-03-17;2025-03-23;1.2;LINESTRING (567298.084455 5936315.262920,567322.960254 5936256.867475,567332.759974 5936233.863245);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615166;13;19.2;2025-03-17;2025-03-23;1.6;LINESTRING (567936.541520 5936307.171947,567954.047955 5936282.722204);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615167;20;18.6;2025-03-17;2025-03-23;2.2;LINESTRING (567652.619585 5935724.484986,567629.965399 5935724.493867);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615168;27;21.5;2025-03-17;2025-03-23;2.7;LINESTRING (567485.666449 5935615.385022,567476.539395 5935605.128860);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615169;39;22.5;2025-03-17;2025-03-23;3.5;LINESTRING (567458.808627 5935585.069159,567476.539395 5935605.128860);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615170;9;25.7;2025-03-17;2025-03-23;1.2;LINESTRING (567662.224173 5935650.628177,567601.016490 5935646.078511,567584.739758 5935649.405868);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615171;16;20.9;2025-03-17;2025-03-23;1.9;LINESTRING (567598.182224 5937732.799557,567663.373347 5937757.769478);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615172;11;26.7;2025-03-17;2025-03-23;1.4;LINESTRING (569214.140953 5931682.542451,569214.218573 5931695.339660,569215.357288 5931703.590345,569217.506547 5931710.743140,569219.757958 5931715.449490);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615173;17;23.0;2025-03-17;2025-03-23;1.9;LINESTRING (569190.856473 5931733.274239,569197.617846 5931728.811236,569204.177122 5931724.567822,569219.757958 5931715.449490);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615174;9;22.7;2025-03-17;2025-03-23;1.2;LINESTRING (569405.113756 5931756.780942,569368.600757 5931733.100203,569344.104440 5931717.273848,569328.752017 5931710.817293,569312.303103 5931706.792639,569289.831564 5931706.574127,569250.615946 5931708.891896,569230.612610 5931712.159238,569219.757958 5931715.449490);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615175;13;20.1;2025-03-17;2025-03-23;1.6;LINESTRING (571612.757417 5935040.327595,571611.506052 5935044.203120,571604.349345 5935066.126347,571601.220123 5935075.870790,571599.413560 5935081.406972,571597.953376 5935085.946963,571596.773335 5935089.489758);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7615176;14;21.2;2025-03-17;2025-03-23;1.7;LINESTRING (571575.512623 5935154.595079,571591.007314 5935107.094502,571596.773335 5935089.489758);EPSG:25832
